Brand,Description,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
sainoor,Banarasi Silk A-line Lehenga Choli Set with Dupatta,Women,"2,719","8,497",orange
fame-forever-by-lifestyle,Embellished Round-Neck Top,Women,599,599,pink
akiya,Embroidered A-line Dress with Elastic Waist,Women,800,"1,999",yellow
charu,Embellished Straight Kurta,Women,925,"3,699",green
prettify,Floral Embroidered Straight Kurta,Women,750,"1,499",green
silvertraq,Camouflage Short Sleeve T-shirt,Women,725,"1,300",black
silvertraq,Non-Wired Full Coverage Sports Bra,Women,990,"1,650",black
popnetic,Floral Print V-neck  Top,Women,899,"1,499",blue
silvertraq,Striped Crop T-shirt with Lettuce Hem,Women,700,"1,400",green
jinal-jinal,Cotton Silk Weave Saree with Blouse Piece,Women,"1,299","2,886",red
harbor-n-bay,Striped Henley T-shirt,Women,592,"1,599",multi
max,Colourblock Crew-Neck T-shirt,Women,399,399,multi
silvertraq,Animal Sports Leggings with Elasticated Waist,Women,"1,549","2,199",navy
hive-91,Top with Notched Neckline,Women,399,749,maroon
triveni,Jacquard Silk Traditional Saree with Contrast Border ,Women,"2,803","8,759",orange
triveni,Striped Saree with Tassels,Women,"2,326","7,269",blue
okane,Typographic Crew-Neck T-shirt,Women,559,699,blue
deewa,Floral Print A-line Dress with Tie-Up,Women,825,"1,649",maroon
yamamay,Lace Brazilian Briefs,Women,"2,099","2,099",black
silvertraq,Non-Wired Full Coverage Sports Bra,Women,"1,100","1,650",purple
silvertraq,Solid Ankle Length Sports Leggings,Women,"1,550","2,199",brown
akiya,Floral Print A-line Dress,Women,600,"1,999",blue
silvertraq,Non-Wired Full Coverage Sports Bra,Women,990,"1,650",grey
fame-forever-by-lifestyle,Floral Print Round-Neck Top,Women,399,399,olive
popnetic,Floral Print Cap Sleeves Top,Women,899,"1,499",black
styleelite,Traditional Saree,Women,"1,150","2,299",gold
delis,Floral Print Top with Tie-Up Neck,Women,478,"1,195",beige
delis,Printed V-neck Top,Women,540,"1,350",white
charu,Embroidered Straight Kurta,Women,900,"3,599",green
yamamay,Lace Lightly-Padded Non-Wired Bra,Women,"4,199","4,199",blue
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,349","1,999",yellow
styleelite,Traditional Saree with Contrast Border,Women,"1,400","2,799",green
indethnic,Banarasi Saree with Tassels,Women,"1,500","3,750",orange
friskers,Pack of 2 V-neck Tops,Women,"1,066","1,938",white
silvertraq,Animal Sports Leggings with Elasticated Waist,Women,"1,549","2,199",grey
silvertraq,Logo Print Tank Top,Women,650,"1,200",red
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,990,"1,450",purple
kotty,Mid-Rise Straight Fit Pants,Women,"1,991","1,999",pink
silvertraq,Hoodie with Kangaroo Pockets,Women,"1,600","2,150",green
angloindu,Animal Print Cap Sleeves Top,Women,540,"1,199",blue
fame-forever-by-lifestyle,Typographic Print Round-Neck Top,Women,299,299,yellow
angloindu,Striped Cap Sleeves  Top,Women,675,"1,499",black
yamamay,Lace Brazilian Briefs,Women,"2,099","2,099",pink
kappa,Ankle-Length Straight Joggers,Women,799,799,blue
deewa,Printed A-line Dress with Cold-Shoulder Sleeves,Women,998,"2,495",yellow
fame-forever-by-lifestyle,Striped Round-Neck Top,Women,699,699,blue
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,349","1,900",blue
okane,Solid Track Pants with Slip Pockets,Women,"1,049","1,399",rust
silvertraq,Tie & Dye Round-Neck T-shirt,Women,725,"1,400",purple
stylum,Lapel Collared Shirt with Pyjama,Women,"1,100","2,199",blue
popnetic,Colourblocked V-neck Top,Women,839,"1,399",white
7th-fab-tomorrow-s-fashion,Floral Print Saree,Women,"1,000","4,999",green
hive-91,Top with Notched Neckline,Women,399,749,purple
jinal-jinal,Banarasi Weave Traditional Saree with Blouse Piece,Women,720,"1,599",navy
angloindu,Colourblocked Round-Neck  Top,Women,540,"1,199",black
styleelite,Traditional Saree with Contrast Border,Women,"1,150","2,299",maroon
krya,Floral Print Boat-neck Straight Kurta,Women,"1,499","1,499",green
angloindu,Colourblocked Round-Neck  T-shirt ,Women,540,"1,199",black
styleelite,Jamdani Floral Pattern Traditional Saree,Women,"1,400","2,799",yellow
7th-fab-tomorrow-s-fashion,Floral Print Saree,Women,"1,000","4,999",pink
styleelite,Printed Traditional Saree with Zari Accent ,Women,"1,150","2,299",maroon
hive-91,Top with Notched Neckline,Women,399,749,green
blissta,Tie & Dye Satin Saree with Belt,Women,"1,599","6,395",orange
jinal-jinal,Floral Printed Zari Border Saree With Blouse Piece ,Women,"1,665","3,699",black
popnetic,Colourblocked Full Sleeves  Top,Women,839,"1,399",black
silvertraq,High-Neck Jacket with Flap Pocket,Women,"1,500","2,190",pink
yuri-s,Striped Sleeveless Jumpsuit,Women,950,"1,899",cream
blissta,Floral Embroidered Traditional Organza Saree ,Women,"1,999","7,995",blue
elle,Checked Top with Front Bow ,Women,"2,499","2,499",yellow
silvertraq,Printed Hooded Jacket with Insert Pockets,Women,"1,600","2,399",grey
fame-forever-by-lifestyle,Floral Print Round-Neck Top,Women,399,399,blue
sitaram-designer,Floral Embroidered Straight Kurta,Women,800,"1,999",yellow
styleelite,Floral Woven Traditional Saree,Women,"1,250","2,499",maroon
silvertraq,Logo Print Round-Neck T-shirt,Women,750,"1,550",purple
hive-91,Top with Notched Neckline,Women,399,749,blue
silvertraq,Hoodie with Pockets,Women,"2,799","2,799",brown
angloindu,Round-Neck Long-length Top,Women,720,"1,599",red
jinal-jinal,Floral Woven Traditional Saree,Women,"1,496","3,399",yellow
triveni,Printed Cotton Saree with Tassels,Women,"1,843","5,759",green
akiya,Geometric Print V-neck Top,Women,520,"1,299",red
ginger-by-lifestyle,Striped Relaxed Fit Palazzos ,Women,"1,499","1,499",blue
silvertraq,Jacket with Flap Pockets,Women,925,"1,250",black
avaasa-set,Bandhani Print A-line Dress,Women,"2,399","2,399",lightturquoise
avaasa-mix-n-match,Floral Print Straight Kurta with Button Placket,Women,499,499,olivegreen
replay,Printed Flared Dress,Women,"13,999","13,999",10
bouji,Strappy Bralette ,Women,"3,890","3,890",black
bouji,Strappy V-neck Crop Top,Women,"3,890","3,890",black
pankvi,Floral Print Straight Kurta,Women,678,990,pink
pankvi,Colourblock Bell Sleeves Flared Kurta,Women,"1,451","2,938",multi
bouji,Strappy Crop Top,Women,"3,890","3,890",black
pankvi,Floral Embroidered Flared Kurta,Women,"1,453","1,998",multi
pankvi,Polka-dot Print Straight Kurta,Women,514,"2,098",red
pankvi,Embellished Flared Kurta,Women,"1,565","1,890",yellow
pankvi,Embellished Flared Kurta,Women,"1,390","2,598",black
fourleaf,Satin Saree with Blouse Piece,Women,"1,035","3,449",wine
bouji,Crop Top with Tie-Up,Women,"3,890","3,890",white
bouji,Florence Short Skirt,Women,"4,890","4,890",olive
bouji,Strappy Crop Top,Women,"3,890","3,890",black
bouji,Strappy Crop Top,Women,"3,890","3,890",white
fig,Micro Print Round-Neck Top,Women,599,599,mustard
i-saw-it-first,Distressed Skinny Jeans,Women,"3,599","3,599",black
global-desi,Printed A-line Kurta,Women,"2,799","2,799",teal
global-desi,Striped A-line Kurta with Embroidery,Women,"2,999","2,999",grey
performax,Sports Leggings with Elasticated Waist,Women,809,899,rosegold
i-saw-it-first,Mid-Wash Distressed Relaxed Fit Straight Jeans,Women,"4,199","4,199",darkwash
avaasa-set,Printed Fit & Flare Dress with Shrug,Women,"1,999","1,999",teal
avaasa-mix-n-match,Chanderi Dupatta with Tassels,Women,299,299,offwhite
siyahi,Printed Round-Neck Top,Women,499,499,coral
siyahi,Floral Print Round-Neck Top,Women,499,499,offwhite
avaasa-set,Printed Kurta Suit Set,Women,"1,499","1,499",grey
kraus,Mid-Wash Slim Fit Jeans with Fringes,Women,"1,495","1,495",darkblue
kraus,Skinny Jeggings with Contrast Tapping,Women,"1,495","1,495",black
kraus,Schifilli Slim Fit Top,Women,"1,049","1,049",peach
kraus,Washed Slim Fit Capris,Women,"1,595","1,595",blue
kraus,Checked Shirt with Buttoned Flap Pockets,Women,"1,399","1,399",navy
fig,Round-Neck T-shirt with Lace Accent,Women,399,399,aqua
siril,Floral Print Zari Woven Saree,Women,463,"1,322",orange
ginger-by-lifestyle,Solid Body Shaper,Women,799,799,black
lymi-label,Floral Fit and Flare Dress,Women,"2,529","8,719",green
kraus,Checked Shirt with Buttoned Flap Pockets,Women,"1,399","1,399",navy
pisara,Printed Saree with Blouse Piece,Women,600,"1,999",white
shararat,Pack of 2 Sleeveless Nighties,Women,899,"1,799",blue
marie-claire,Graphic T-shirt with Round Neckline,Women,"1,295","1,299",black
rue-collection,Full-Sleeve Peplum Top,Women,520,"1,299",nude
soch,Embellished Round-Neck Straight Kurta,Women,"1,124","1,498",blue
soch,Embroidered Round-Neck A-line Kurta,Women,"2,998","2,998",pink
madame,Full Sleeves Top with Printed Neck Tie-Up,Women,800,"1,599",black
harbor-n-bay,Striped Henley T-shirt,Women,592,"1,599",black
anvi-be-yourself,Floral Bodycon Dress,Women,987,"2,598",yellow
siyahi,Printed Flared Tunic with Embroidered Collar,Women,699,699,cream
siyahi,Printed Ruffled-Neck Flared Dress,Women,999,999,yellow
soch,Embellished Round-Neck Straight Kurta,Women,"1,124","1,498",black
soch,Floral Embroidered Straight Kurta,Women,"2,998","2,998",yellow
soch,Floral Print A-line Kurta,Women,798,798,pink
silvertraq,Tie & Dye Sports Leggings with Elasticated Waist,Women,"1,749","2,150",multi
ruhaan-s,Floral Embroidered Loose Fit Kaftan Tunic,Women,720,"1,799",black
soch,Printed Straight Kurta,Women,599,798,blue
soch,Floral Embroidered Straight Kurta,Women,"1,498","1,498",blue
soch,Embellished Straight Kurta,Women,"1,124","1,498",green
soch,Embroidered Round-Neck A-line Kurta,Women,"2,998","2,998",blue
soch,Floral Print Silk Saree ,Women,"2,998","2,998",black
fab-viva,Traditional Saree with Lace Border,Women,"1,470","6,999",pink
fab-viva,Traditional Saree with Lace Boarder,Women,"1,470","6,999",teal
fab-viva,Embroidered Saree with Blouse Piece,Women,"3,000","11,999",pink
fab-viva,Striped Saree with Blouse Piece ,Women,"1,365","6,499",black
fab-viva,Striped Saree with Blouse Piece ,Women,"1,365","6,499",blue
fab-viva,Striped Saree with Tassels ,Women,"1,470","6,999",grey
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,680","7,999",blue
fab-viva,Striped Saree with Tassels ,Women,"1,470","6,999",green
fab-viva,Embroidered Saree with Tassels,Women,"2,860","10,999",green
fab-viva,Embroidered Saree with Tassels,Women,"2,860","10,999",red
fab-viva,Striped Saree with Tassels ,Women,"1,470","6,999",pink
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,540","6,999",green
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,540","6,999",navy
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,470","6,999",black
fab-viva,Dupion Silk Saree with Blouse Piece ,Women,"1,365","6,499",red
fab-viva,Embellished Saree with Blouse Piece,Women,"1,540","6,999",magenta
fab-viva,Saree with Floral Print Blouse Piece,Women,"1,365","6,499",gold
fab-viva,Embellished Saree with Blouse Piece,Women,"1,540","6,999",purple
fab-viva,Embroidered Saree with Tassels,Women,"2,990","11,499",green
fab-viva,Embellished Net Saree with Sequins,Women,"1,470","6,999",black
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,540","6,999",navy
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,540","6,999",navy
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,540","6,999",pink
fab-viva,Embellished Saree with Blouse Piece ,Women,"1,540","6,999",red
fab-viva,Striped Saree with Blouse Piece ,Women,"1,470","6,999",orange
fab-viva,Striped Saree with Blouse Piece ,Women,"1,470","6,999",green
fab-viva,Striped Saree with Blouse Piece ,Women,"1,470","6,999",pink
fab-viva,Embroidered Saree with Blouse Piece,Women,"3,000","11,999",blue
fab-viva,Striped Saree with Blouse Piece ,Women,"1,260","5,999",green
silvertraq,Printed Bomber Jacket with Hoodie,Women,"1,650","2,199",black
namma-ooru-trend,Round-Neck Top with Tie-Ups,Women,360,999,blue
sitaram-designer,Striped Round-Neck Straight Kurta,Women,800,"1,999",green
silvertraq,Hooded Jacket with Insert Pockets,Women,"1,350","2,150",blue
triveni,Printed Cotton Saree with Tassels,Women,"1,782","5,569",red
silvertraq,Tie & Dye Round-Neck T-shirt,Women,749,"1,549",yellow
fame-forever-by-lifestyle,Butterfly Print Round-Neck Top,Women,599,599,blue
styleelite,Traditional Saree,Women,"1,250","2,499",green
max,Keyhole Neck A-line Kurta with Embroidered Yoke,Women,899,899,blue
styleelite,Printed Traditional Saree with Blouse Piece  ,Women,"1,150","2,299",cream
krishnvatika,Printed Blouse with Double Frill ,Women,893,"1,899",beige
7th-fab-tomorrow-s-fashion,Printed Woven Saree,Women,"1,000","4,999",multi
fame-forever-by-lifestyle,Floral Print Sheer Top with Tiered Sleeves,Women,899,899,green
silvertraq,Heathered Top with Knot Accent,Women,840,"1,400",blue
stylum,Lapel Collared Shirt with Pyjama,Women,"1,150","2,299",white
guti,Skinny Fit Jeans with 5-Pocket Styling,Women,900,"1,999",white
fame-forever-by-lifestyle,Graphic Print V-neck Top,Women,349,499,white
silvertraq,Hoodie with Kangaroo Pockets,Women,"1,600","2,150",yellow
silvertraq,Graphic Print Non-Wired Full Coverage Sports Bra,Women,"1,200","1,800",navy
triveni,Embellished Georgette Saree with Tassels,Women,"2,259","7,059",yellow
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,349","1,999",peach
okane,Pyjamas with Elasticated Waistband,Women,719,899,blue
styleelite,Traditional Saree,Women,"1,150","2,299",pink
silvertraq,Solid Ankle Length  Sports Leggings,Women,"1,349","1,900",green
styleelite,Floral Woven Traditional Saree ,Women,"1,250","2,499",blue
perfectly-average,Solid Straight Fit Pants,Women,"2,200","2,200",black
silvertraq,High-Rise Culottes with Insert Pockets ,Women,"1,149","1,549",brown
soch,3-piece Checked Unstitched Dress Material,Women,"1,198","1,198",beige
delis,Lace Top with Tie-Up Neck,Women,518,"1,295",blue
akiya,Embroidered Round-Neck Top,Women,611,"1,299",pink
silvertraq,Camouflage Print Bomber Jacket with Hoodie,Women,"1,650","2,199",grey
soch,Yoke Embellished Straight Kurta,Women,"2,249","2,998",copper
silvertraq,Logo Print Tank Top,Women,725,"1,450",red
silvertraq,Logo Print Knotted Top,Women,"1,100","1,549",grey
deewa,Printed A-line Dress,Women,"1,286","2,795",multi
colour-me,Geometric Print V-neck Top,Women,999,999,olive
okane,Pyjamas with Elasticated Waistband,Women,719,899,purple
clovia,Pack of 3 Graphic Print Hipsters,Women,898,"1,497",multi
indethnic,Contrast Border Saree with Tassels,Women,"2,100","6,000",yellow
okane,Typographic Crew-Neck T-shirt,Women,559,699,rust
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,990,"2,199",olive
akiya,Floral Print V-neck Top,Women,520,"1,299",yellow
soch,Floral Print A-line Kurta,Women,649,"1,298",yellow
styleelite,Printed Traditional Saree ,Women,"1,250","2,499",blue
kappa,Textured Ankle-Length Joggers,Women,799,799,black
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,990,"2,199",cream
popnetic,Floral Print Full Sleeves Top,Women,959,"1,599",blue
delis,Full Sleeve High-Neck Top,Women,598,"1,495",green
teusy,Pack of 3 Hipsters,Women,539,599,multi
diva-walk-exclusive,Fit & Flare Dress with Bell Sleeves,Women,750,"2,499",peach
guti,Sleeveless Crop  Top,Women,399,"1,899",pink
satrani,Sequence Work Slip-on Blouse,Women,551,"1,574",black
griva-designer,Bandhani Print Embroidered Work Saree ,Women,"1,020","2,999",pink
kotty,Ankle-Length Straight Fit Pants,Women,"1,991","1,999",grey
silvertraq,Solid Ankle Length Sports Leggings,Women,"1,549","2,100",black
silvertraq,Logo Print Tank Top,Women,725,"1,350",pink
ginger-by-lifestyle,Graphic Print Round-Neck Top,Women,450,899,olive
jinal-jinal,Floral Printed Cotton Blend Zari Border Saree With Blouse Piece ,Women,"1,665","3,699",black
akiya,Full-length Mid-Rise  Pants,Women,520,"1,299",navy
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,800,"1,599",pink
antaran,Printed Round-Neck Straight Kurta Set,Women,"1,692","3,599",grey
popnetic,Collar-Neck Full Sleeves Top,Women,"1,079","1,799",white
okane,Pyjamas with Elasticated Waistband,Women,719,899,peach
styleelite,Traditional Saree with Lace Border,Women,"1,150","2,299",red
guti,Solid Ankle Length  Jeans,Women,900,"1,999",blue
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,800,"1,599",yellow
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,350","2,150",purple
akiya,Mid-Rise Full-length  Pants,Women,520,"1,299",red
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,720,"1,599",green
styleelite,Traditional Saree,Women,"1,050","2,099",grey
popnetic,Full Sleeves V-neck  Top,Women,959,"1,599",green
max,Typography Print Crew-Neck T-shirt,Women,249,249,white
mystere-paris,Checked Pyjamas with Insert Pockets,Women,719,899,blue
ginger-by-lifestyle,Solid Body Shaper,Women,899,899,black
yamamay,Lace Hipster Briefs,Women,"2,199","2,199",blue
styleelite,Jamdani Floral Pattern Saree,Women,"1,400","2,799",white
muffle,Printed Round-Neck Top,Women,700,"1,999",grey
silvertraq,Brand Print Round-Neck T-shirt,Women,700,"1,299",white
styleelite,Traditional Saree with Blouse Piece,Women,"1,500","2,999",cream
charu,Embroidered Straight Kurta,Women,900,"3,599",brown
akiya,Polka-Dot Print Top with Neck Tie-Up,Women,585,"1,299",white
puma,Logo Print Zip-Front Crop Jacket,Women,"6,999","6,999",pink
silvertraq,Logo Print Knotted Top,Women,"1,100","1,549",brown
delis,Printed Off-Shoulder Top,Women,518,"1,295",black
sitaram-designer,Striped Round-Neck A-line Kurta,Women,800,"1,999",brown
styleelite,Paisley Print Traditional Saree ,Women,"1,320","2,640",green
delis,Button-Down Top with Ruffle Overlay,Women,518,"1,295",red
delis,V-neck Top with Ruffle Overlay,Women,478,"1,195",black
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,990,"2,199",olive
akiya,Embroidered V-neck Top,Women,779,"1,299",blue
silvertraq,Striped Tank Top,Women,725,"1,200",black
silvertraq,Track Jacket with Flap Pockets,Women,"2,799","5,799",white
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,550","2,199",black
teusy,Pack of 3 Hipsters,Women,539,599,multi
elle,Crop Top with Fuffed Sleeve,Women,"1,499","1,499",pink
krya,Floral Print Collar-neck Straight Kurta,Women,"1,499","1,499",black
triveni,Embellished Georgette Saree,Women,"2,259","7,059",maroon
styleelite,Traditional Saree,Women,"1,350","2,699",navy
diva-walk-exclusive,Floral Print Tiered Dress with Mask,Women,780,"2,999",red
akiya,Embroidered A-line Dress,Women,900,"1,999",black
silvertraq,Non-Wired Full Coverage Sports Bra,Women,"1,100","1,650",peach
styleelite,Printed Traditional Saree with Zari Accent ,Women,"1,150","2,299",green
silvertraq,Animal Print Non-Wired Full Coverage Sports Bra,Women,"1,200","1,800",brown
puma,Solid Flared Track Pants,Women,"5,999","5,999",pink
teusy,Pack of 3 Hipsters,Women,539,599,multi
delis,Off-Shoulder Ruffle Top ,Women,518,"1,295",white
angloindu,Tie & Dyed Round-Neck  Top,Women,720,"1,599",blue
styleelite,Floral Print Traditional Saree with Blouse Piece ,Women,"1,250","2,499",navy
indethnic,Banarasi Saree with Tassels,Women,"2,750","5,500",beige
guti,Solid Ankle Length Jeans,Women,900,"1,999",white
triveni,Floral Print Chiffon Saree,Women,"1,123","3,509",green
styleelite,Traditional Saree with Blouse Piece,Women,"1,150","2,299",red
prettify,Floral Embroidered Straight Kurta,Women,750,"1,499",yellow
sitaram-designer,Round-Neck Straight Kurta,Women,800,"1,999",black
deewa,Floral Print A-line Dress with Tie-Up,Women,825,"1,649",black
satrani,Sequence Work Back Open Blouse,Women,626,"1,789",gold
charu,Floral Print A-line Kurta Set with Dupatta,Women,"1,250","4,999",multi
elle,Checked Top with Ruffled Sleeve,Women,"1,439","1,799",red
styleelite,Traditional Saree with Lace Border,Women,"1,150","2,299",green
blissta,Embellished Silk Saree,Women,"1,999","7,995",multi
styleelite,Traditional Saree,Women,"1,150","2,299",pink
silvertraq,Solid Ankle Length  Sports Leggings,Women,"1,449","1,999",green
stylum, Straight Kurta Set with Strappy Sleeve ,Women,"1,100","2,199",orange
elle, Smoked Top with Square-Neck ,Women,"2,199","2,199",lavender
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,349","1,900",brown
delis,Short Sleeve Keyhole Neck Top ,Women,518,"1,295",red
triveni,Floral Print Chiffon Saree,Women,"1,123","3,509",beige
code-by-lifestyle,Floral Print Off-Shoulder Top,Women,"1,399","1,399",peach
angloindu,Striped Cap Sleeves  Top,Women,540,"1,199",white
satrani,Sequence Work Slip-on Blouse,Women,602,"1,719",maroon
satrani,Embellished Back Open Blouse,Women,456,"1,303",navy
styleelite,Paisley Print Half-& -Half Saree ,Women,"1,150","2,299",grey
akiya,Floral Print V-neck Top,Women,520,"1,299",white
triveni,Embellished Cotton Saree with Tassels,Women,"1,968","6,149",pink
silvertraq,Brand Print Round-Neck T-shirt,Women,700,"1,400",pink
silvertraq,Graphic Print Non-Wired Full Coverage Sports Bra,Women,"1,200","1,800",grey
guti,Solid Ankle Length  Jeans,Women,900,"1,999",grey
elle,Striped Culottes with Insert Pockets ,Women,"2,999","2,999",white
styleelite,Traditional Saree with Blouse Piece,Women,"1,450","2,899",green
silvertraq,Camouflage Sports Leggings with Elasticated Waist,Women,"1,549","2,100",black
akiya,Floral Print Boat-Neck Top,Women,520,"1,299",black
styleelite,Printed Traditional Saree ,Women,"1,150","2,299",aqua
delis,V-neck Top with Cap Sleeves,Women,478,"1,195",blue
silvertraq,Brand Print Round-Neck T-shirt,Women,700,"1,400",orange
ginger-by-lifestyle,Mid-Rise Ankle Length Jeans,Women,"1,399","1,399",black
soch,3-piece Embroidered Unstitched Dress Material,Women,"1,498","1,498",yellow
popnetic,Floral Print Full Sleeves Top,Women,899,"1,499",white
bani-women,Printed Round-Neck Straight Kurta,Women,750,"1,499",blue
ginger-by-lifestyle,Cartoon Print Short Sleeve Top ,Women,400,799,white
7th-fab-tomorrow-s-fashion,Striped Woven Saree,Women,"1,000","4,999",black
manvaa,Embellished Unstitched Dress Material,Women,"1,880","3,760",green
jinal-jinal,Floral Woven Traditional Saree,Women,"1,496","3,399",pink
ginger-by-lifestyle,Micro Print Skater Dress with Strappy Sleeves,Women,799,799,red
jinal-jinal,Floral Woven Traditional Saree,Women,720,"1,599",navy
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,550","2,199",green
siril,Floral Print Zari Woven Saree,Women,463,"1,322",green
silvertraq,Printed Hoodie with Kangaroo Pockets,Women,"1,600","2,150",beige
siril,Leaf Print Saree with Blouse Piece ,Women,"1,470","4,199",blue
diva-walk-exclusive,Top with Bell Sleeves,Women,759,"2,299",purple
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,990,"1,800",brown
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,990,"2,199",blue
delis,Polyester High-Neck Top,Women,518,"1,295",purple
styleelite,Traditional Saree,Women,"1,150","2,299",orange
silvertraq,Solid Ankle Length  Sports Leggings,Women,990,"1,800",grey
styleelite,Jamdani Floral Pattern Saree,Women,"1,400","2,799",yellow
griva-designer,Traditional Saree with Tassels,Women,"1,320","3,999",black
ginger-by-lifestyle,Graphic Print Cotton Crop Top,Women,559,799,navy
nightspree,Floral Print Round-Neck Nightie,Women,799,"1,332",black
pisara,Floral Woven Traditional Saree with Zari Border,Women,"1,980","6,599",peach
max,Woven Round-Neck Top,Women,899,899,white
kazo,Satin Shirt with Spread Collar,Women,"1,690","1,690",pink
kraus,High-Rise Bootcut Jeans,Women,"1,595","1,595",blue
spera,Bandhani Print Straight Kurta Set,Women,"1,131","3,056",green
spera,Floral Embroidered Straight Kurta Set,Women,931,"3,579",black
nehamta,Foil Print Straight Kurta with Mock Buttons,Women,516,"2,399",black
iscenery-by-vero-moda,Gigi Striped Fit & Flare Dress,Women,"1,799","1,799",darknavy
max,Pack of 3 Floral Print Bikinis,Women,399,399,multi
max,Floral Print Top with Adjustable Strap,Women,599,599,yellow
tikhi-imli,Abstract Print Printed Saree with Blouse Piece,Women,"1,429","2,598",multi
tikhi-imli,Pre-stitched Saree with Sequins Border,Women,"3,189","5,798",navy
kraus,Schifilli Slim Fit Top,Women,"1,049","1,049",peach
satrani,Sequence Work Slip-on Blouse,Women,602,"1,719",navy
griva-designer,Bandhani Print Georgette Saree,Women,"1,020","2,999",red
jaipur-style-fever,Geometric Print Fit & Flare Dress,Women,580,"1,999",blue
zikaraa,Jamdani Cotton Silk Saree ,Women,"1,750","3,499",red
shararat,Geometric Print Full-length Pyjamas,Women,499,999,black
akiya,A-line Dress with Elastic Waist,Women,600,"1,999",yellow
styleelite,Traditional Saree,Women,"1,150","2,299",blue
hive-91,Floral Print Collar-Neck Tunic,Women,799,"1,395",orange
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,990,"2,199",purple
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,349","1,900",blue
kotty,Mid-Rise Ankle-Length Straight Fit Pants,Women,"1,991","1,999",blue
jinal-jinal,Banarasi Weave Traditional Saree with Blouse Piece,Women,720,"1,599",yellow
blissta,Tie & Dye Satin Saree with Belt,Women,"1,599","6,395",blue
delis,Pleated High-Neck Top ,Women,518,"1,295",brown
jinal-jinal,Jacquard Woven Traditional Saree with Blouse Piece,Women,990,"2,199",green
7th-fab-tomorrow-s-fashion,Paisley Print Saree,Women,"1,000","4,999",white
jinal-jinal,Embellished Cotton Silk Saree With Blouse Piece ,Women,799,"1,776",grey
soch,Floral Print Straight Kurta,Women,"1,724","2,298",maroon
vogueorgy,Typographic Print Round-Neck Sweatshirt ,Women,"1,300","2,000",yellow
jaipur-style-fever,Floral Print Fit & Flare Dress,Women,580,"1,999",green
krishnvatika,Printed Round-Neck  Blouse,Women,893,"1,899",red
yamamay,Lace Non-Padded Under-Wired Bra,Women,"3,499","3,499",pink
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,350","2,150",blue
silvertraq,Striped Crop T-shirt with Lettuce Hem,Women,700,"1,400",red
jinal-jinal,Floral Woven Traditional Saree,Women,990,"2,199",blue
diva-walk-exclusive,Pintucks Top with Square Neck ,Women,702,"2,699",pink
sitaram-designer,Embroidered Round-Neck Straight Kurta,Women,800,"1,999",pink
ginger-by-lifestyle,Solid Thigh Shaper,Women,899,899,brown
charu,Embroidered Straight Kurta,Women,900,"3,599",pink
max,Ruffled Neck Top with Cuffed Sleeve ,Women,899,899,white
guti,Sleeveless Crop  Top,Women,399,"1,899",cream
jinal-jinal,Cotton Silk Weave Saree with Blouse Piece,Women,"1,299","2,886",yellow
guti,Solid Ankle Length Jeans,Women,900,"1,999",white
angloindu,Striped Cap Sleeves  Top,Women,450,999,white
silvertraq,Solid Sports Leggings with Elasticated Waist,Women,"1,349","1,999",purple
jinal-jinal,Banarasi Weave Traditional Saree with Blouse Piece,Women,"1,496","3,399",yellow
styleelite,Printed Traditional Saree with Blouse Piece  ,Women,"1,150","2,299",green
yamamay,Lace Non-Wired Bralette,Women,"3,699","3,699",green
deewa,Printed A-line Dress with Cold-Shoulder Sleeves,Women,998,"2,495",pink
silvertraq,Non-Wired Full Coverage Sports Bra,Women,725,"1,400",orange
delis,Floral Print Top with Tie-Up Neck,Women,478,"1,195",blue
okane,Typographic Crew-Neck T-shirt,Women,559,699,black
